type,value,source,tags,confidence,severity,first_seen,last_seen
sha256,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,internal_test,"test;hash",0.2,low,2026-01-01,2026-01-17
sha256,9f86d081884c7d659a2feaa0c55ad015a3bf4f1b2b0b822cd15d6c15b0f00a08,internal_test,"sample;hash",0.3,low,2026-01-01,2026-01-17
sha1,da39a3ee5e6b4b0d3255bfef95601890afd80709,internal_test,"test;hash",0.2,low,2026-01-01,2026-01-17
md5,d41d8cd98f00b204e9800998ecf8427e,internal_test,"test;hash",0.2,low,2026-01-01,2026-01-17
ip,203.0.113.10,internal_test,"test;ip",0.4,medium,2026-01-01,2026-01-17
ip,198.51.100.23,internal_test,"sample;ip",0.4,medium,2026-01-01,2026-01-17
cidr,203.0.113.0/24,internal_test,"test;cidr",0.5,medium,2026-01-01,2026-01-17
cidr,2001:db8::/32,internal_test,"test;cidr;ipv6",0.5,medium,2026-01-01,2026-01-17
domain,evil-example.test,internal_test,"test;domain;phishing",0.7,high,2026-01-02,2026-01-17
domain,cdn.badstuff.test,internal_test,"test;domain;c2",0.8,high,2026-01-02,2026-01-17
url,http://evil-example.test/login,internal_test,"test;url;phishing",0.8,high,2026-01-02,2026-01-17
url,https://cdn.badstuff.test/update.bin,internal_test,"test;url;payload",0.9,critical,2026-01-03,2026-01-17
email,abuse@evil-example.test,internal_test,"test;email",0.6,medium,2026-01-02,2026-01-17
email,support@cdn.badstuff.test,internal_test,"test;email",0.6,medium,2026-01-02,2026-01-17
